time_days,dt_days,newton_iterations,residual_norm,p_min_bar,p_max_bar,sw_min,sw_max,sg_min,sg_max,so_min,so_max,oil_rate_m3_day,water_prod_rate_m3_day,free_gas_rate_sm3_day,gas_component_rate_sm3_day,water_inj_rate_m3_day,producing_gor_sm3_sm3,cumulative_oil_m3,cumulative_water_prod_m3,cumulative_free_gas_sm3,cumulative_gas_component_sm3,cumulative_water_inj_m3,recovery_factor,water_cut,oil_mb_error_m3,water_mb_error_m3,gas_mb_error_sm3,oil_mb_error_relative,water_mb_error_relative,gas_mb_error_relative
5.0,5.0,3,1.5005441947697867e-10,228.50787427005096,240.7869007415793,0.19998808200073548,0.20208159307921156,0.04873050023719874,0.06334161805519983,0.7363869266521923,0.7506816990887855,75.30660907555561,0.039017045244751754,7825.573562431673,18505.865213506742,8.64,245.74025362023255,376.533045377778,0.19508522622375876,39127.867812158365,92529.32606753371,43.2,0.0017583668785757748,0.0005178408788082321,4.9090147058450384e-08,-1.4812842619171818e-10,9.381434938404709e-05,2.292454532520227e-13,-2.000122108245712e-15,2.5888207472224134e-12
11.25,6.25,3,7.451803403563138e-11,221.3555645208246,241.2476361336782,0.1999795168908983,0.20469534676515652,0.04784363383524436,0.0711151055245576,0.7284446161085221,0.7512012783675979,66.04279951854338,0.036927466133802274,10070.680215926435,19172.25891549684,8.64,290.30051807712493,789.3005423686741,0.425881889560023,102069.61916169859,212355.94428938895,97.2,0.003685944561786078,0.0005588320021716367,6.275195119087584e-08,-1.643853386745775e-10,9.694218169897795e-05,2.9304453857252804e-13,-2.218022707798801e-15,2.6751337392528485e-12
19.0625,7.8125,3,3.420986523749993e-10,215.73453895214877,241.35538533000343,0.19997964186788428,0.20797293487624657,0.04735413553869834,0.07681441948962799,0.7226126833324483,0.7512876993175754,59.302799390526836,0.03522465902041257,11643.02310226396,19615.73435026884,8.64,330.77248547902957,1252.603662607165,0.7010745381569963,193030.73714813578,365603.86890086427,164.7,0.005849517909115584,0.0005936270980476192,7.240259947138838e-08,-1.4723000596461588e-10,0.0001511265290901065,3.381119782077718e-13,-1.9847485239249637e-15,4.170358762096885e-12
28.828125,9.765625,3,3.958950993580667e-11,210.62422327202083,240.86624513977242,0.1999958743617911,0.21208388094026254,0.04753663174803602,0.0814078974464891,0.7178985170183068,0.7505928955221013,53.74945821147422,0.033630519048680724,12774.311700436936,19835.621723744527,8.64,369.03854259706935,1777.5007154535929,1.029497575741769,317779.87484771525,559311.1122968069,249.075,0.00830072797876879,0.0006252991384928545,7.294192982953973e-08,-1.1997070004099442e-10,0.0001516586635261774,3.4063059018625634e-13,-1.6154464811918277e-15,4.1850430900004174e-12
41.03515625,12.20703125,3,4.839411652587586e-10,205.77987906946123,239.48495717208527,0.20003741823468493,0.2172396179784957,0.048684809938956464,0.08531209493847043,0.713879809908189,0.7487531313462203,48.916402269802305,0.03207845319372061,13581.109194042505,19865.29801154734,8.64,406.10709475277247,2374.6247665986407,1.4210802563291787,483564.89918905444,801807.4259143281,354.54375,0.011089229988946953,0.000655351355545753,7.803782864357345e-08,-1.3674883447833963e-10,0.00015633134171366692,3.6442786323085827e-13,-1.8387681230718603e-15,4.3139863307337314e-12
56.2939453125,15.2587890625,3,1.9622467361751194e-10,201.06324727154794,236.96269823420732,0.200102454385116,0.22370058497884496,0.05094875616923657,0.08876348994228755,0.7103168351411788,0.7455062863066511,44.55676632533024,0.030528689093143314,14132.992570369115,19731.013277170037,8.64,442.828663397709,3054.507065263958,1.886911083556097,699217.2516421964,1102878.7955000526,486.3796875,0.014264203686417837,0.0006846948011371333,7.992184691829607e-08,-1.4356138500204452e-10,0.0001582852564752102,3.732260162046032e-13,-1.9269679531989077e-15,4.3679048954969976e-12
74.2939453125,18.0,3,9.464783758919934e-11,196.6772381440938,233.3877045245041,0.20018920179158348,0.2313307869255581,0.05403089548968249,0.09218631907084573,0.7067903244526162,0.7410665893946684,40.618861175968085,0.029052565119676004,14565.462064837078,19551.042286101907,8.64,481.32915891962944,3785.6465664313832,2.409857255710265,961395.5688092639,1454797.556649887,641.8996875,0.017678542741789066,0.0007147369310201293,8.203960533137433e-08,-1.4638512624287614e-10,0.00018320325762033463,3.8311570927694934e-13,-1.9607905651825045e-15,5.05552079612786e-12
92.2939453125,18.0,3,2.1355032726605266e-10,193.02875378816734,229.57694700387913,0.20028015599755186,0.23895840577565353,0.057016362956914236,0.09502932032342215,0.7038610741547952,0.736517720202553,37.498527617092556,0.02779901494508786,14828.106892734455,19337.663046223053,8.64,515.6912624326234,4460.62006353905,2.9102395247218467,1228301.492878484,1802875.491481902,797.4196875,0.02083059288931279,0.0007407870004882063,8.737788448343053e-08,-1.5032108890977725e-10,0.00019486434757709503,4.080448711786611e-13,-2.0093394704028986e-15,5.377310285832745e-12
110.2939453125,18.0,3,1.393513422615441e-10,189.862996512103,225.8352070731185,0.20036829346219814,0.2465730051608642,0.059541666405208554,0.09743291826383024,0.6938853284339273,0.7322547436579205,34.922395127094354,0.026692405710461848,14972.710469134738,19097.284119999364,8.64,546.8492080940588,5089.223175826748,3.39070282751016,1497810.2813229093,2146626.605641891,952.9396875,0.02376609856666275,0.0007637511475916827,8.917777449823916e-08,-1.2493561740711812e-10,0.0001988452859222889,4.164501546616643e-13,-1.666558505262331e-15,5.487164864040838e-12
128.2939453125,18.0,3,3.6021197285418125e-10,187.0488771094809,222.46027166041046,0.2004491141963306,0.25415948224097523,0.06171603115292163,0.09955110672439481,0.6841244866061031,0.728069881312269,32.724524654050825,0.025693858286736714,15046.585119817366,18848.953550150385,8.64,575.9886124982156,5678.264619599663,3.853192276671421,1768648.813479622,2485907.7695445977,1108.4596875,0.026516855711496007,0.0007845400566429015,9.506675269221887e-08,-1.1672884880908896e-10,0.00020555034279823303,4.4395101901358246e-13,-1.5538716668179832e-15,5.672191893122406e-12
