accepted_step,dt_days,name,requested_control,target,active_type,active_control,bhp
1,0.35,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
1,0.35,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
2,0.4374999999999999,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
2,0.4374999999999999,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
3,0.5468749999999999,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
3,0.5468749999999999,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
4,0.6835937499999999,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
4,0.6835937499999999,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
5,0.8544921874999998,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
5,0.8544921874999998,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
6,0.5340576171874999,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
6,0.5340576171874999,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
7,0.5340576171874999,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
7,0.5340576171874999,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
8,0.6675720214843749,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
8,0.6675720214843749,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
9,0.8344650268554685,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
9,0.8344650268554685,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
10,1.0430812835693357,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
10,1.0430812835693357,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
11,1.3038516044616697,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
11,1.3038516044616697,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
12,1.5,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
12,1.5,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
13,0.7104538917541517,INJ_WATER_RATE_MAXBHP,water_rate,0.00011574074074074075,BHPWell,bhp,36000000.0
13,0.7104538917541517,PROD_LIQ_RATE_MINBHP,liquid_rate,-0.00018518518518518518,BHPWell,bhp,11500000.0
