step,dt_days,name,requested_control,target,active_type,active_control,bhp,bhp_bar
0,0.2,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
0,0.2,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
1,0.25,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
1,0.25,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
2,0.05,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
2,0.05,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
3,0.0625,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
3,0.0625,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
4,0.078125,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
4,0.078125,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
5,0.09765625,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
5,0.09765625,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
6,0.06171875,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
6,0.06171875,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
7,0.0771484375,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
7,0.0771484375,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
7,0.0771484375,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
8,0.096435546875,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
8,0.096435546875,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
8,0.096435546875,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
9,0.026416015625,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
9,0.026416015625,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
9,0.026416015625,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
10,0.03302001953125,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
10,0.03302001953125,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
10,0.03302001953125,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
11,0.0412750244140625,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
11,0.0412750244140625,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
11,0.0412750244140625,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
12,0.051593780517578125,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
12,0.051593780517578125,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
12,0.051593780517578125,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
13,0.06449222564697266,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
13,0.06449222564697266,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
13,0.06449222564697266,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
14,0.00961894989013672,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
14,0.00961894989013672,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
14,0.00961894989013672,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
15,0.012023687362670898,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
15,0.012023687362670898,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
15,0.012023687362670898,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
15,0.012023687362670898,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
16,0.015029609203338623,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
16,0.015029609203338623,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
16,0.015029609203338623,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
16,0.015029609203338623,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
17,0.01878701150417328,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
17,0.01878701150417328,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
17,0.01878701150417328,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
17,0.01878701150417328,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
18,0.0234837643802166,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
18,0.0234837643802166,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
18,0.0234837643802166,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
18,0.0234837643802166,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
19,0.029354705475270748,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
19,0.029354705475270748,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
19,0.029354705475270748,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
19,0.029354705475270748,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
20,0.036693381844088435,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
20,0.036693381844088435,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
20,0.036693381844088435,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
20,0.036693381844088435,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
21,0.045866727305110544,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
21,0.045866727305110544,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
21,0.045866727305110544,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
21,0.045866727305110544,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
22,0.05733340913138818,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
22,0.05733340913138818,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
22,0.05733340913138818,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
22,0.05733340913138818,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
23,0.0614277037937427,INJ_SW,water_rate,2.5462962962962965e-05,BHPWell,bhp,34500000.0,345.0
23,0.0614277037937427,PROD_NE,total_rate,-3.472222222222222e-05,BHPWell,bhp,14500000.0,145.0
23,0.0614277037937427,PROD_SE,liquid_rate,-1.6203703703703704e-05,BHPWell,bhp,14500000.0,145.0
23,0.0614277037937427,INJ_NW,water_rate,1.3888888888888888e-05,BHPWell,bhp,35000000.0,350.0
