time,well,cell,well_index,control,target,min_bhp,max_bhp,status,group
0.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
0.0,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
17280.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
17280.0,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
38880.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
38880.0,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
43200.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
43200.0,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
48600.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
48600.0,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
55350.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
55350.0,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
63787.5,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
63787.5,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
69120.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
69120.0,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
69120.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
75785.625,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
75785.625,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
75785.625,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
84117.65625,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
84117.65625,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
84117.65625,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
86400.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
86400.0,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
86400.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
89252.9296875,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
89252.9296875,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
89252.9296875,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
92819.091796875,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
92819.091796875,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
92819.091796875,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
97276.79443359375,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
97276.79443359375,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
97276.79443359375,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
102848.92272949219,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
102848.92272949219,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
102848.92272949219,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
103680.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
103680.0,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
103680.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
103680.0,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
104718.84658813477,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
104718.84658813477,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
104718.84658813477,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
104718.84658813477,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
106017.40482330322,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
106017.40482330322,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
106017.40482330322,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
106017.40482330322,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
107640.6026172638,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
107640.6026172638,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
107640.6026172638,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
107640.6026172638,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
109669.59985971451,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
109669.59985971451,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
109669.59985971451,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
109669.59985971451,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
112205.8464127779,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
112205.8464127779,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
112205.8464127779,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
112205.8464127779,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
115376.15460410714,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
115376.15460410714,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
115376.15460410714,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
115376.15460410714,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
119339.03984326869,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
119339.03984326869,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
119339.03984326869,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
119339.03984326869,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
124292.64639222063,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
124292.64639222063,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
124292.64639222063,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
124292.64639222063,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
129600.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
129600.0,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
129600.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
129600.0,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
136234.1920097242,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
136234.1920097242,PROD_NE,19,2.8e-15,total_rate,-3.472222222222222e-05,14500000.0,,open,PRODUCERS
136234.1920097242,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
136234.1920097242,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
138240.0,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
138240.0,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
138240.0,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
138240.0,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
140747.25998784474,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
140747.25998784474,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
140747.25998784474,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
140747.25998784474,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
143881.33497265066,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
143881.33497265066,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
143881.33497265066,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
143881.33497265066,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
147798.92870365805,INJ_SW,0,2.3e-15,water_rate,2.5462962962962965e-05,,34500000.0,open,INJECTORS
147798.92870365805,PROD_NE,19,2.8e-15,bhp,15500000.0,14500000.0,,open,PRODUCERS
147798.92870365805,PROD_SE,4,2.2e-15,liquid_rate,-1.6203703703703704e-05,14500000.0,,open,PRODUCERS
147798.92870365805,INJ_NW,15,2e-15,water_rate,1.3888888888888888e-05,,35000000.0,open,INJECTORS
