active_control,active_target,bhp_estimate,dt_days,name,open_completions,requested_control,requested_target,status,time_days
bhp,35500000.0,37269627.793436915,5.0,INJ_W,2,water_rate,3.472222222222222e-05,open,5.0
liquid_rate,-2.5462962962962965e-05,26781465.51565613,5.0,PROD_E,3,liquid_rate,-2.5462962962962965e-05,open,5.0
bhp,17500000.0,nan,5.0,PROD_H,3,bhp,17500000.0,open,5.0
bhp,35500000.0,36890620.269672774,5.0,INJ_W,2,water_rate,3.472222222222222e-05,open,10.0
liquid_rate,-2.5462962962962965e-05,26577108.844601907,5.0,PROD_E,3,liquid_rate,-2.5462962962962965e-05,open,10.0
bhp,17500000.0,nan,5.0,PROD_H,3,bhp,17500000.0,open,10.0
bhp,35500000.0,35714872.18374845,5.0,INJ_W,2,water_rate,3.472222222222222e-05,open,15.0
liquid_rate,-3.240740740740741e-05,23829669.44821525,5.0,PROD_E,3,liquid_rate,-3.240740740740741e-05,open,15.0
bhp,17500000.0,nan,5.0,PROD_H,3,bhp,17500000.0,open,15.0
bhp,35500000.0,36042733.79498079,5.0,INJ_W,2,water_rate,3.472222222222222e-05,open,20.0
liquid_rate,-3.240740740740741e-05,23936220.331823073,5.0,PROD_E,3,liquid_rate,-3.240740740740741e-05,open,20.0
bhp,16500000.0,nan,5.0,PROD_H,3,bhp,16500000.0,open,20.0
